movie,year,rating,genre,runtime_min,imdb,metascore,votes,n_imdb
Black Panther: Wakanda Forever,2022,PG-13,"['Action', ' Adventure', ' Drama']",161,7.3,67,105762,73.0
Black Adam,2022,PG-13,"['Action', ' Adventure', ' Fantasy']",125,6.7,41,148932,67.0
Strange World,2022,PG,"['Animation', ' Action', ' Adventure']",102,4.7,65,7431,47.0
Nope,2022,R,"['Horror', ' Mystery', ' Sci-Fi']",130,6.9,77,165993,69.0
Everything Everywhere All at Once,2022,R,"['Action', ' Adventure', ' Comedy']",139,8.1,81,244476,81.0
Black Panther,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",134,7.3,88,767531,73.0
Avatar,2009,PG-13,"['Action', ' Adventure', ' Fantasy']",162,7.8,83,1248947,78.0
Thor: Love and Thunder,2022,PG-13,"['Action', ' Adventure', ' Comedy']",118,6.3,57,316075,63.0
Rogue One: A Star Wars Story,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",133,7.8,65,636205,78.0
Dune,2021,PG-13,"['Action', ' Adventure', ' Drama']",155,8.0,74,627798,80.0
Spider-Man: No Way Home,2021,PG-13,"['Action', ' Adventure', ' Fantasy']",148,8.3,71,747340,83.0
Interstellar,2014,PG-13,"['Adventure', ' Drama', ' Sci-Fi']",169,8.6,74,1814250,86.0
Mighty Morphin Power Rangers,1995,PG,"['Action', ' Adventure', ' Family']",95,5.2,40,27974,52.0
Jurassic World: Dominion,2022,PG-13,"['Action', ' Adventure', ' Sci-Fi']",147,5.7,38,150970,57.0
Avengers: Endgame,2019,PG-13,"['Action', ' Adventure', ' Drama']",181,8.4,78,1121755,84.0
Doctor Strange in the Multiverse of Madness,2022,PG-13,"['Action', ' Adventure', ' Fantasy']",126,6.9,60,407323,69.0
Inception,2010,PG-13,"['Action', ' Adventure', ' Sci-Fi']",148,8.8,74,2339480,88.0
Blade Runner 2049,2017,R,"['Action', ' Drama', ' Mystery']",164,8.0,81,570181,80.0
The Hunger Games,2012,PG-13,"['Action', ' Adventure', ' Sci-Fi']",142,7.2,68,918038,72.0
Prey,2022,R,"['Action', ' Adventure', ' Drama']",99,7.2,71,185651,72.0
Guardians of the Galaxy,2014,PG-13,"['Action', ' Adventure', ' Comedy']",121,8.0,76,1175134,80.0
Ghostbusters: Afterlife,2021,PG-13,"['Adventure', ' Comedy', ' Fantasy']",124,7.1,45,181617,71.0
Back to the Future,1985,PG,"['Adventure', ' Comedy', ' Sci-Fi']",116,8.5,87,1199910,85.0
Morbius,2022,PG-13,"['Action', ' Adventure', ' Horror']",104,5.2,35,121202,52.0
Alita: Battle Angel,2019,PG-13,"['Action', ' Adventure', ' Sci-Fi']",122,7.3,53,268605,73.0
Don't Look Up,2021,R,"['Comedy', ' Drama', ' Sci-Fi']",138,7.2,49,533779,72.0
Eternals,2021,PG-13,"['Action', ' Adventure', ' Fantasy']",156,6.3,52,339714,63.0
R.I.P.D.,2013,PG-13,"['Action', ' Adventure', ' Comedy']",96,5.6,25,134992,56.0
Tenet,2020,PG-13,"['Action', ' Sci-Fi', ' Thriller']",150,7.3,69,501271,73.0
DC League of Super-Pets,2022,PG,"['Animation', ' Action', ' Adventure']",105,7.3,56,61809,73.0
Crimes of the Future,2022,R,"['Drama', ' Horror', ' Sci-Fi']",107,5.9,67,27159,59.0
Moonfall,2022,PG-13,"['Action', ' Adventure', ' Sci-Fi']",130,5.1,41,77657,51.0
Mad Max: Fury Road,2015,R,"['Action', ' Adventure', ' Sci-Fi']",120,8.1,90,999416,81.0
Spider-Man,2002,PG-13,"['Action', ' Adventure', ' Sci-Fi']",121,7.4,73,816623,74.0
Alien,1979,R,"['Horror', ' Sci-Fi']",117,8.5,89,880280,85.0
Free Guy,2021,PG-13,"['Action', ' Adventure', ' Comedy']",115,7.1,62,368113,71.0
The Matrix,1999,R,"['Action', ' Sci-Fi']",136,8.7,73,1905345,87.0
Jurassic Park,1993,PG-13,"['Action', ' Adventure', ' Sci-Fi']",127,8.2,68,985940,82.0
Guardians of the Galaxy Vol. 2,2017,PG-13,"['Action', ' Adventure', ' Comedy']",136,7.6,67,679703,76.0
Oblivion,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",124,7.0,54,527043,70.0
The Suicide Squad,2021,R,"['Action', ' Adventure', ' Comedy']",132,7.2,72,349473,72.0
Avengers: Infinity War,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",149,8.4,68,1073555,84.0
The Prestige,2006,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",130,8.5,66,1328189,85.0
Star Wars: Episode IV - A New Hope,1977,PG,"['Action', ' Adventure', ' Fantasy']",121,8.6,90,1360322,86.0
Blade Runner,1982,R,"['Action', ' Drama', ' Sci-Fi']",117,8.1,84,768633,81.0
Eternal Sunshine of the Spotless Mind,2004,R,"['Drama', ' Romance', ' Sci-Fi']",108,8.3,89,1005287,83.0
Prometheus,2012,R,"['Adventure', ' Mystery', ' Sci-Fi']",124,7.0,64,610801,70.0
Power Rangers,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",124,5.9,44,108956,59.0
Spider-Man: Into the Spider-Verse,2018,PG,"['Animation', ' Action', ' Adventure']",117,8.4,87,525115,84.0
Black Widow,2021,PG-13,"['Action', ' Adventure', ' Sci-Fi']",134,6.7,67,376563,67.0
Iron Man,2008,PG-13,"['Action', ' Adventure', ' Sci-Fi']",126,7.9,79,1056598,79.0
Aliens,1986,R,"['Action', ' Adventure', ' Sci-Fi']",137,8.4,84,716748,84.0
Samaritan,2022,PG-13,"['Action', ' Drama', ' Fantasy']",102,5.7,45,43872,57.0
The Matrix Resurrections,2021,R,"['Action', ' Sci-Fi']",148,5.7,63,248771,57.0
Underwater,2020,PG-13,"['Action', ' Horror', ' Sci-Fi']",95,5.8,48,83647,58.0
Deadpool,2016,R,"['Action', ' Adventure', ' Comedy']",108,8.0,65,1034663,80.0
Deadpool 2,2018,R,"['Action', ' Adventure', ' Comedy']",119,7.7,66,581236,77.0
Ghostbusters,1984,PG,"['Action', ' Comedy', ' Fantasy']",105,7.8,71,416470,78.0
A Clockwork Orange,1971,R,"['Crime', ' Sci-Fi']",136,8.3,77,828906,83.0
About Time,2013,R,"['Comedy', ' Drama', ' Fantasy']",123,7.8,55,351312,78.0
Spiderhead,2022,R,"['Action', ' Crime', ' Drama']",106,5.4,54,55768,54.0
Ready Player One,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",140,7.4,64,436376,74.0
Zack Snyder's Justice League,2021,R,"['Action', ' Adventure', ' Fantasy']",242,8.0,54,396866,80.0
Arrival,2016,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",116,7.9,81,693333,79.0
Captain America: The First Avenger,2011,PG-13,"['Action', ' Adventure', ' Sci-Fi']",124,6.9,66,844230,69.0
Minions: The Rise of Gru,2022,PG,"['Animation', ' Adventure', ' Comedy']",87,6.6,56,62306,66.0
Man of Steel,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",143,7.1,55,771517,71.0
The Fifth Element,1997,PG-13,"['Action', ' Adventure', ' Sci-Fi']",126,7.6,52,474947,76.0
Shang-Chi and the Legend of the Ten Rings,2021,PG-13,"['Action', ' Adventure', ' Fantasy']",132,7.4,71,379190,74.0
Aquaman,2018,PG-13,"['Action', ' Adventure', ' Fantasy']",143,6.8,55,474196,68.0
The Avengers,2012,PG-13,"['Action', ' Adventure', ' Sci-Fi']",143,8.0,69,1387863,80.0
The Adam Project,2022,PG-13,"['Action', ' Adventure', ' Comedy']",106,6.7,55,199646,67.0
Lightyear,2022,PG,"['Animation', ' Action', ' Adventure']",100,6.0,60,102471,60.0
Sonic the Hedgehog 2,2022,PG,"['Action', ' Adventure', ' Comedy']",122,6.5,47,65737,65.0
Cargo,2017,TV-MA,"['Drama', ' Horror', ' Sci-Fi']",105,6.3,65,44277,63.0
Donnie Darko,2001,R,"['Drama', ' Mystery', ' Sci-Fi']",113,8.0,88,801330,80.0
Idiocracy,2006,R,"['Adventure', ' Comedy', ' Sci-Fi']",84,6.5,66,165041,65.0
The Mist,2007,R,"['Horror', ' Sci-Fi', ' Thriller']",126,7.1,58,313085,71.0
Significant Other,2022,R,"['Drama', ' Mystery', ' Sci-Fi']",84,5.7,57,5610,57.0
Dual,2022,R,"['Comedy', ' Drama', ' Sci-Fi']",94,5.8,62,8456,58.0
Suicide Squad,2016,PG-13,"['Action', ' Adventure', ' Fantasy']",123,5.9,40,685662,59.0
Terminator 2: Judgment Day,1991,R,"['Action', ' Sci-Fi']",137,8.6,75,1095661,86.0
Thor: Ragnarok,2017,PG-13,"['Action', ' Adventure', ' Comedy']",130,7.9,74,749925,79.0
Star Wars: Episode IX - The Rise of Skywalker,2019,PG-13,"['Action', ' Adventure', ' Fantasy']",141,6.5,53,450401,65.0
Godzilla vs. Kong,2021,PG-13,"['Action', ' Sci-Fi', ' Thriller']",113,6.3,59,209269,63.0
Star Trek,2009,PG-13,"['Action', ' Adventure', ' Sci-Fi']",127,7.9,82,604417,79.0
Her,2013,R,"['Drama', ' Romance', ' Sci-Fi']",126,8.0,91,612725,80.0
The Martian,2015,PG-13,"['Adventure', ' Drama', ' Sci-Fi']",144,8.0,80,852046,80.0
The Munsters,2022,PG,"['Comedy', ' Family', ' Fantasy']",109,4.5,57,8901,45.0
A Quiet Place,2018,PG-13,"['Drama', ' Horror', ' Sci-Fi']",90,7.5,82,528180,75.0
Event Horizon,1997,R,"['Horror', ' Sci-Fi', ' Thriller']",96,6.6,35,182415,66.0
Mr. Nobody,2009,R,"['Drama', ' Fantasy', ' Romance']",141,7.8,63,234528,78.0
The Terminator,1984,R,"['Action', ' Sci-Fi']",107,8.1,84,863728,81.0
Edge of Tomorrow,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",113,7.9,71,678258,79.0
Transformers,2007,PG-13,"['Action', ' Adventure', ' Sci-Fi']",144,7.0,61,638574,70.0
2001: A Space Odyssey,1968,G,"['Adventure', ' Sci-Fi']",149,8.3,84,668054,83.0
The Hunger Games: Catching Fire,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",146,7.5,76,665623,75.0
V for Vendetta,2005,R,"['Action', ' Drama', ' Sci-Fi']",132,8.2,62,1120650,82.0
Green Lantern,2011,PG-13,"['Action', ' Adventure', ' Sci-Fi']",114,5.5,39,286237,55.0
The Day After Tomorrow,2004,PG-13,"['Action', ' Adventure', ' Sci-Fi']",124,6.4,47,449870,64.0
Star Wars: Episode VII - The Force Awakens,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",138,7.8,80,929543,78.0
Watchmen,2009,R,"['Action', ' Drama', ' Mystery']",162,7.6,56,552878,76.0
Logan,2017,R,"['Action', ' Drama', ' Sci-Fi']",137,8.1,77,761158,81.0
Snowpiercer,2013,R,"['Action', ' Sci-Fi', ' Thriller']",126,7.1,84,362154,71.0
The Thing,1982,R,"['Horror', ' Mystery', ' Sci-Fi']",109,8.2,57,425732,82.0
E.T. the Extra-Terrestrial,1982,PG,"['Adventure', ' Family', ' Sci-Fi']",115,7.9,91,410323,79.0
Spider-Man: Homecoming,2017,PG-13,"['Action', ' Adventure', ' Sci-Fi']",133,7.4,73,655211,74.0
Divergent,2014,PG-13,"['Action', ' Adventure', ' Mystery']",139,6.6,48,461640,66.0
Ex Machina,2014,R,"['Drama', ' Sci-Fi', ' Thriller']",108,7.7,78,545581,77.0
Jurassic World,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",124,6.9,59,643197,69.0
Men in Black,1997,PG-13,"['Action', ' Adventure', ' Comedy']",98,7.3,71,569530,73.0
X-Men,2000,PG-13,"['Action', ' Adventure', ' Sci-Fi']",104,7.3,64,616787,73.0
Under the Skin,2013,R,"['Drama', ' Horror', ' Mystery']",108,6.3,80,145308,63.0
Captain America: Civil War,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",147,7.8,75,786012,78.0
Star Wars: Episode VIII - The Last Jedi,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",152,6.9,84,631162,69.0
Star Wars: Episode I - The Phantom Menace,1999,PG,"['Action', ' Adventure', ' Fantasy']",136,6.5,51,805095,65.0
Dune,1984,PG-13,"['Action', ' Adventure', ' Sci-Fi']",137,6.3,41,162727,63.0
The Faculty,1998,R,"['Horror', ' Mystery', ' Sci-Fi']",104,6.5,61,125089,65.0
Starship Troopers,1997,R,"['Action', ' Adventure', ' Sci-Fi']",129,7.3,51,297543,73.0
The Platform,2019,TV-MA,"['Horror', ' Sci-Fi', ' Thriller']",94,7.0,73,225539,70.0
Armageddon,1998,PG-13,"['Action', ' Adventure', ' Sci-Fi']",151,6.7,42,427512,67.0
War of the Worlds,2005,PG-13,"['Action', ' Adventure', ' Sci-Fi']",116,6.5,73,450201,65.0
Children of Men,2006,R,"['Action', ' Drama', ' Sci-Fi']",109,7.9,84,501625,79.0
Wonder Woman,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",141,7.4,76,657957,74.0
Meet Cute,2022,TV-MA,"['Comedy', ' Drama', ' Fantasy']",89,5.6,50,4082,56.0
Batman v Superman: Dawn of Justice,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",151,6.4,44,699730,64.0
Spider-Man: Far from Home,2019,PG-13,"['Action', ' Adventure', ' Sci-Fi']",129,7.4,69,490903,74.0
Limitless,2011,PG-13,"['Sci-Fi', ' Thriller']",105,7.4,59,575129,74.0
Star Wars: Episode V - The Empire Strikes Back,1980,PG,"['Action', ' Adventure', ' Fantasy']",124,8.7,82,1287778,87.0
Annihilation,2018,R,"['Adventure', ' Drama', ' Horror']",115,6.8,79,327273,68.0
Predator,1987,R,"['Action', ' Adventure', ' Horror']",107,7.8,47,424522,78.0
Iron Man 3,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",130,7.1,62,849047,71.0
A Quiet Place Part II,2020,PG-13,"['Drama', ' Horror', ' Sci-Fi']",97,7.2,71,227551,72.0
Vesper,2022,Not Rated,"['Adventure', ' Drama', ' Sci-Fi']",114,6.0,70,11356,60.0
WALL·E,2008,G,"['Animation', ' Adventure', ' Family']",98,8.4,95,1112643,84.0
Iron Man 2,2010,PG-13,"['Action', ' Adventure', ' Sci-Fi']",124,6.9,57,816551,69.0
Free Birds,2013,PG,"['Animation', ' Adventure', ' Comedy']",91,5.8,38,24616,58.0
Independence Day,1996,PG-13,"['Action', ' Adventure', ' Sci-Fi']",145,7.0,59,576372,70.0
Minority Report,2002,PG-13,"['Action', ' Crime', ' Mystery']",145,7.6,80,552633,76.0
Avengers: Age of Ultron,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",141,7.3,66,861896,73.0
X-Men: First Class,2011,PG-13,"['Action', ' Adventure', ' Sci-Fi']",131,7.7,65,693621,77.0
RoboCop,1987,R,"['Action', ' Crime', ' Sci-Fi']",102,7.6,70,260298,76.0
What Happened to Monday,2017,TV-MA,"['Action', ' Crime', ' Fantasy']",123,6.8,47,124131,68.0
Hot Tub Time Machine,2010,R,"['Comedy', ' Sci-Fi']",101,6.4,63,176597,64.0
Venom: Let There Be Carnage,2021,PG-13,"['Action', ' Adventure', ' Sci-Fi']",97,5.9,49,223510,59.0
Spider-Man 3,2007,PG-13,"['Action', ' Adventure', ' Sci-Fi']",139,6.3,59,591141,63.0
The Butterfly Effect,2004,R,"['Drama', ' Sci-Fi', ' Thriller']",113,7.6,30,490829,76.0
Captain Marvel,2019,PG-13,"['Action', ' Adventure', ' Sci-Fi']",123,6.8,64,559402,68.0
The Hunger Games: Mockingjay - Part 2,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",137,6.5,65,328326,65.0
Star Wars: Episode VI - Return of the Jedi,1983,PG,"['Action', ' Adventure', ' Fantasy']",131,8.3,58,1051107,83.0
Venom,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",112,6.6,35,484898,66.0
Solo: A Star Wars Story,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",135,6.9,62,347453,69.0
